id,count,y,ycount,x1,x2
1014,,0,1,0,4
1014,,0,1,1,4
1014,,0,1,1,6
1014,4,1,1,1,8
1017,3,0,1,0,1
1017,,0,1,0,7
1017,,1,1,1,10
1019,,0,2,0,1
1019,,0,2,1,7
1019,4,1,2,1,7
1019,,1,2,1,9
1023,3,0,1,0,4
1023,,0,1,0,6
1023,,1,1,1,9
1025,,0,3,0,2
1025,,0,3,0,5
1025,,1,3,0,6
1025,,1,3,0,7
1025,5,1,3,1,7
1027,,0,2,0,6
1027,,0,2,0,7
1027,,0,2,1,2
1027,,0,2,1,5
1027,,0,2,1,8
1027,,0,2,1,10
1027,,1,2,0,5
1027,8,1,2,1,10
1029,,0,1,0,2
1029,3,0,1,0,10
1029,,1,1,0,6
1030,,0,2,0,4
1030,5,0,2,1,4
1030,,0,2,1,5
1030,,1,2,0,8
1030,,1,2,0,10
1031,5,0,1,0,5
1031,,0,1,0,6
1031,,0,1,0,10
1031,,0,1,1,2
1031,,1,1,1,7
1032,,0,2,0,3
1032,9,0,2,0,4
1032,,0,2,0,5
1032,,0,2,0,7
1032,,0,2,0,10
1032,,0,2,1,6
1032,,0,2,1,7
1032,,1,2,0,2
1032,,1,2,0,5
1039,2,0,1,1,4
1039,,1,1,1,3
1043,,0,1,0,5
1043,,0,1,0,7
1043,,0,1,0,9
1043,,0,1,0,10
1043,9,0,1,0,10
1043,,0,1,1,3
1043,,0,1,1,6
1043,,0,1,1,9
1043,,1,1,1,5
1044,,0,1,0,3
1044,,0,1,0,3
1044,,0,1,0,4
1044,,0,1,0,8
1044,,0,1,0,8
1044,,0,1,0,9
1044,,0,1,1,7
1044,,0,1,1,10
1044,9,1,1,0,4
1045,,0,4,0,6
1045,,0,4,1,11
1045,,1,4,0,2
1045,,1,4,0,6
1045,,1,4,0,8
1045,6,1,4,1,7
1047,,0,2,0,1
1047,,0,2,0,4
1047,5,0,2,0,10
1047,,1,2,0,1
1047,,1,2,1,11
1050,,0,1,0,4
1050,,0,1,0,4
1050,,0,1,1,9
1050,4,1,1,1,8
1055,6,0,1,0,5
1055,,0,1,0,5
1055,,0,1,0,9
1055,,0,1,0,9
1055,,0,1,1,5
1055,,1,1,1,6
1060,6,0,2,0,2
1060,,0,2,0,3
1060,,0,2,0,3
1060,,0,2,0,10
1060,,1,2,0,5
1060,,1,2,1,8
1069,,0,1,0,3
1069,6,0,1,0,5
1069,,0,1,0,9
1069,,0,1,0,10
1069,,0,1,1,6
1069,,1,1,0,3
1073,,0,1,0,10
1073,,0,1,1,9
1073,3,1,1,1,8
1074,,0,1,0,4
1074,,0,1,0,4
1074,5,0,1,0,6
1074,,0,1,0,9
1074,,1,1,0,6
1075,,0,1,0,2
1075,,0,1,0,3
1075,5,0,1,0,5
1075,,0,1,0,10
1075,,1,1,0,9
1076,,0,1,0,1
1076,,0,1,0,5
1076,,0,1,0,6
1076,6,0,1,0,7
1076,,0,1,1,6
1076,,1,1,0,10
1077,,0,1,0,6
1077,,0,1,0,8
1077,,0,1,1,8
1077,6,0,1,1,8
1077,,0,1,1,11
1077,,1,1,1,3
1078,4,0,1,0,2
1078,,0,1,0,2
1078,,0,1,0,10
1078,,1,1,0,6
1092,,0,1,1,10
1092,2,1,1,1,9
1094,,0,1,0,1
1094,,0,1,0,10
1094,,0,1,1,3
1094,,0,1,1,7
1094,5,1,1,0,3
1095,,0,2,0,1
1095,,0,2,0,1
1095,,0,2,0,4
1095,,0,2,0,6
1095,,0,2,0,8
1095,,0,2,1,3
1095,,0,2,1,3
1095,,1,2,1,5
1095,9,1,2,1,8
1097,,0,1,0,7
1097,3,0,1,1,7
1097,,1,1,1,5
1098,8,0,1,0,1
1098,,0,1,0,1
1098,,0,1,0,2
1098,,0,1,0,3
1098,,0,1,0,7
1098,,0,1,0,8
1098,,0,1,1,8
1098,,1,1,1,8
1099,2,0,1,0,1
1099,,1,1,0,6
1104,2,0,1,0,2
1104,,1,1,0,7
1105,,0,1,0,4
1105,7,0,1,0,5
1105,,0,1,0,6
1105,,0,1,0,7
1105,,0,1,0,8
1105,,0,1,0,9
1105,,1,1,0,9
1108,,0,1,0,5
1108,,0,1,1,5
1108,4,0,1,1,11
1108,,1,1,0,4
1110,,0,3,0,2
1110,7,0,3,0,7
1110,,0,3,0,7
1110,,0,3,0,10
1110,,1,3,0,7
1110,,1,3,0,7
1110,,1,3,1,9
1113,,0,1,0,3
1113,,0,1,0,5
1113,7,0,1,0,6
1113,,0,1,0,7
1113,,0,1,0,9
1113,,0,1,1,8
1113,,1,1,0,5
1118,,0,1,0,5
1118,4,0,1,0,9
1118,,0,1,0,10
1118,,1,1,0,8
1120,,0,1,0,3
1120,,0,1,0,7
1120,,0,1,0,7
1120,9,0,1,0,8
1120,,0,1,0,10
1120,,0,1,1,6
1120,,0,1,1,8
1120,,0,1,1,8
1120,,1,1,0,6
1121,,0,1,0,5
1121,,0,1,0,6
1121,,0,1,0,8
1121,7,0,1,0,8
1121,,0,1,0,8
1121,,0,1,0,10
1121,,1,1,0,7
1122,,0,1,0,6
1122,4,0,1,0,9
1122,,0,1,1,2
1122,,1,1,1,7
1125,4,0,1,0,1
1125,,0,1,0,3
1125,,0,1,0,9
1125,,1,1,0,9
1126,,0,1,0,1
1126,10,0,1,0,1
1126,,0,1,0,2
1126,,0,1,0,3
1126,,0,1,0,9
1126,,0,1,1,6
1126,,0,1,1,7
1126,,0,1,1,7
1126,,0,1,1,10
1126,,1,1,0,11
1128,,0,2,0,1
1128,,0,2,0,5
1128,,0,2,0,5
1128,,0,2,0,9
1128,,0,2,0,10
1128,,1,2,0,4
1128,7,1,2,1,4
1133,5,0,1,0,1
1133,,0,1,0,3
1133,,0,1,0,6
1133,,0,1,0,10
1133,,1,1,1,3
1137,,0,1,0,1
1137,,0,1,0,5
1137,5,0,1,0,7
1137,,0,1,1,7
1137,,1,1,1,11
1141,,0,3,0,7
1141,7,0,3,0,7
1141,,0,3,0,8
1141,,0,3,1,10
1141,,1,3,0,1
1141,,1,3,0,7
1141,,1,3,1,9
1142,,0,1,0,2
1142,,0,1,0,6
1142,,0,1,0,6
1142,,0,1,0,8
1142,6,0,1,1,8
1142,,1,1,1,8
1144,4,0,1,0,6
1144,,0,1,0,9
1144,,0,1,1,6
1144,,1,1,0,3
1146,,0,2,0,1
1146,,0,2,0,1
1146,,0,2,0,2
1146,,0,2,0,4
1146,,0,2,0,5
1146,,0,2,1,5
1146,9,0,2,1,8
1146,,1,2,0,9
1146,,1,2,0,10
1147,7,0,4,1,4
1147,,0,4,1,8
1147,,0,4,1,10
1147,,1,4,0,4
1147,,1,4,0,10
1147,,1,4,1,5
1147,,1,4,1,11
1148,4,0,1,0,6
1148,,0,1,0,7
1148,,0,1,0,10
1148,,1,1,0,1
1149,,0,1,0,3
1149,6,0,1,0,4
1149,,0,1,0,5
1149,,0,1,0,10
1149,,0,1,1,9
1149,,1,1,0,2
1150,,0,1,0,1
